Person,Review,excellent,good,comfortable,recommend,perfect,bad,problem,terrible,issues,noise,feedback
jack,"Many people are have issues with these not working, so do I. I own many Bose products and they are all great. I was surprised that a reputable company released a product that doesn't work. When receiving the item they worked in the house great. I went outside to run ant they immediately stopped working and wouldn't start again. I tried them when I got home from the run and they worked inside again. Later I tested them going to the mailbox and they started cutting out. I tried another run and this time the stayed on but the signal kept cutting out. I tried them again inside the house and the music only would play in one ear. I called Bose and they are nice and recognize that this model often doesn't work and told me there are some bad batches out. They didn't seem as helpful as I would expect.",,,,,,,,,,,negative
michael,"These headphones fit great, they sound great, BUT only when they work properly... and they don't work properly very often. There is a major problem with them in that they cut out and skip, sort of like an old school portable CD player. Something with the wireless connection between the two headphones. And it happens every time I use them, progressively more and more each use. If I had known about this issue when I purchased them, I wouldn't have bought them. Similarly, if it had been as bad as it is now during the return window, they would've been returned. I can't get through two songs without them cutting out, skipping, or only one headphone playing music. This is ridiculous considering how much these cost. I would have given 0 stars if it wasn't for the really good sound quality when they do actually work.",,,,,,,,,,,negative
ac love bose,"I truly hate to write a bad review about bose. I the soundsport frees for about 2 weeks maybe almost 3 they sound amazing But, they seem to cut out quite a bit. I truly feel like for how much money this product is it should not have so many issues.. Like I said before they sound good but almost every time I turn my head or bend over they seemed to cut out. Also in the steam room or sauna within 5 minutes or less they shut off because of temperature overload. You then have to wait 5 minutes after the sauna or steam room to turn them back on. They also seem to fall out when you Sweat a lot. I believe these are for working out so if that is true they should not fall out of my ear when I get sweaty. If Bose comes out with a second generation that has all the bugs fixed I will definitely buy it again. But as of now there are too many issues with this product for me to say anything nice about them. I have the Bose sound link 2 And I believe they are awesome and I have never had an issue with them ever so I am not dissing the Bose brand because I still love Bose just not this product I hope I helped everybody out. I returned my with a full refund.",,,,,,,,,,,negative
ac big miss,"So I was in the market for some new true wireless earbuds. It was between the IconX, Jabra 65t actives and the bose soundsport free. I picked Bose and I regret it. The fit is only ok but they really do stick out and they do bleed out a lot of sound (if someone is next to you, they will hear what you're listening). Latency is also bad for when I did watch a video but these don't have aptx either though.
So the reason I was in the market for some new true wireless earbuds is that I do like to listen to music while going for a run (main use) and doing a workout. For running, too much wind noise gets in, making the music I was listening to unjoyable. I kept having to correct them and push them in my ear a bit more just cause they are not secure in my ears (I did try the other ear tip sizes with same bad results).
Buttons on the top are hard to push in, so if youre running and wanna skip a track or raise the volume, you're gonna end up having to readjust afterwards.
One thing that not one person has seem to bring up is the area inside the earhooks. So when and if you remove the earhooks you'll find that its being held in place by two little tabs that are very fragile. I was very nervous when swapping out the tips but luckily they didn't break. I do see this potentially breaking in the future.
I did end up returning mine for the above reasons and I think I may have received a bad pair since mine kept disconnecting.
I can't recommend these if youre planning to use them while running or even at all, look elsewhere.",,,,,,,,,,,negative
hayduke,"I purchased these Bose sound sport free earbuds three weeks ago.

First, the good: the sound is great when they're working comfortable correctly.

Now the bad, (and worse): the signal keeps breaking up momentarily when I'm listening to music, even though the source of the music, my Google Pixel, is on my body. Anytime I tilt or lower my head (think working out or working in the yard) the music gets disrupted.

But the real problem began when I contacted Bose to see if they could address with a software update or other option. After 45 minutes on the phone with their customer service agent (really painful), the only option offered or available to me was to send the product to Bose and wait 7-10 business days for a new pair.

I explained that I didn't want to be without replacements for 7-10 days. In an effort to resolve the problem, I offered to purchase a second pair, and send the original pair back immediately once I received the second pair, and have Bose issue a credit to me upon receipt. No go. Not compatible with Bose policy.

I'm left with the option of purchasing another pair on Amazon, then returning the original set to Amazon. Fortunately, Amazon has better customer service policies than Bose.

Bose may design and build great products, but their customer service is head-scratchingly poor.",,,,,,,,,,,negative
ac major,"I'll start by saying that I'm a huge fan of Bose, I have a lot of different headphones from this brand.

The good.
The sound quality is amazing, that's perfect and great...

The bad (everything else)
Mayor issue. Random connectivity drops. It just destroys the experience and it's extremely annoying.

The case is big, so it'll create a bump in your pants if you carry them , easy to scratch

The headphones are also huge, they stand out from your ears like anthenas which is ironic since the connectivity is so bad.

If you have to make a phone call only the right earphone will work...

Single device connectivity...

Delay when you see videos

Bose, what happened? :(

I'll return them and wait for the next iteration.",,,,,,,,,,,negative
jorge,"When connected, the right earbud maintains a solid connection, however, the left consistently loses connection to the right. Mine dropped and reconnected about every 7 minutes.
Sound is amazing when it's connected and the quality of build seems pretty good.
(Purchased two and had the same issue with both) I contacted Bose, seems like an issue that needs to be addressed, but they have not released an update for.",,,,,,,,,,,negative
just another IT,"If you checkout the Bose Support portal, you will see hundreds and hundreds of folks attempting to get this issue resolved. Directly after purchasing these earbuds, i started having issues. Bose wants to send me another pair (after calling support), I just don't have any faith in these headphones.

I had a *MUCH* cheaper pair of bluetooth headphones before these and never had this issue.

To top it all off... The Sound in these headphones is not what I have come to expect from Bose. I'm a huge Bose Fan and these sound no different that a $50 pair of wireless headphones. The don't sound as good as the iPods (which I'm not a fan of) and they give me ear fatigue after about 10-15 minutes of wear (no matter the size).

Bose... You need to try harder.. Oh 1 more thing Bose.. Don't talk down to your customers either (in your customer portal)... Bad Form in Forums",,,,,,,,,,,negative
RUG,"As the title states, phone calls only come in through the right earbud. This is (insanely) by design. Bose does not mention it in any of their product materials until you actually dig deep into the product manual.

As someone who uses my headphones extensively during the workday for conference calls, this is an absolute dealbreaker.

Other gripes include the audio lag that occurs with dialog-heavy videos. It's impossible to watch YouTube without audio lag. It's extremely bad.

The volume and play buttons are very difficult to press and often don't work even though I'm pressing extremely firm on them.",,,,,,,,,,,negative
NICK,"The quality is EXCELLENT however...
1) they cut out regularly while playing music
2) they have a lag while paired to my Samsung 8 series (2019 purchase) TV in any application

I bought these headphones primarily because I work night shift and have weird sleep hours in comparison to my wife and wanted to watch TV in the living room while she sleeps....except there is a delay in the headphones and it's like watching a bad asian movie. I have paired the powerbeats 2 and xbox headset to the TV with no lag issues. DON'T WASTE $200 LIKE I DID.",,,,,,,,,,,negative
simon,"The Bose SoundSport Free have a common connectivity issue with Windows 10. DO NOT BUY these if you plan on using your Soundsport Free with Windows 10 as stated by Bose Support.

The issue is clearly documented on the Bose Product Support Forum with many users experiencing the same problem. Original post was from November 2017 with over 7 pages of contributions from users and only a few replies from Bose moderators with the suggested fixes below.

The suggested fixes from bose include:

1. buy an external Bluetooth adapter (even if your laptop has internal bluetooth already)
2. Response from Bose Support:

""As of now, the update won't guarantee that it will address your concern, the headphones you have is something that is mainly for people who are using the headphones on the go and not for computers. I believe that we provided the troubleshooting steps you need. There is no problem with the headphones, the purpose of this product is to deliver a high-quality audio experience for workouts and that is how the product got its name SoundSport, we sold them for Sports and not for Computers.

Anything about Windows 10 or HP hardware incompatibility is not an existing issue, rather, it is not really relevant to give more focus on. Regardless how many times that headphones will be replaced or updated, the result would still be the same. There is no hardware failure or a need to upgrade at all on our SoundSport headphones, you don't even have to wait for future fix as well. Additionally, we are not going to offer anything for the users for any upgrade because we know it works perfectly. If the headphones are still within its 30 days from the date of purchase, you may return it for full refund from where you bought it if it is not something you need.

If you need further assistance with troubleshooting, you may call our Product Support Team at 1800-367-4008 Monday-Friday 9am - 9pm EST and Saturday 9am-7pm as email would not be the best platform to address this type of concern. We strongly recommend you to call instead.

Thank you for contacting Bose Corporation.
Alex
Product and Technical Support Team

VERY VERY disappointing, especially since someone from Bose clearly stated on the Amazon production description that these Soundsport Free will work with Computers. Will return these to Amazon, but am an International buyer so will lose the return shipping costs.

Have bought many Bose items in the past but this experience has left a bad taste. Will strongly reconsider before buying any Bose products in the future.",,,,,,,,,,,negative
nacho,"These headphones simply don't work. Bluetooth connection is the worst I've experienced so far. If you use this in an area where other people are using a Bluetooth connection for any device, the signal will cut out due to interference. This includes places like the gym and work, two main places a person would use these headphones. I own a few other Bose products and they are great, but Bose really has a dud here.

I was sitting in front of my phone at work, phone 20 inches away and these cut out back and forth from left to right if I turned my head a little. Using with a Bluetooth smart watch was worse, the left ear bud didn't even produce sound. I did update the firmware of the buds through the Bose connect app and still had the same issues.

I have tried headphones from competitors including the Jabra Sport Elite Buds, Jaybird Run and now the Bose. They all suffer from the same Bluetooth issues. I just don't think the technology is at a point yet where these will work in a busy environment that has interference from other devices. It seems all of these companies want to rush a product to market but come on, at least have it working solid before you do.

I wanted to like these, especially after trying the miserably failed Jaybird Runs. The fit is very comfortable and the sound is great, exactly what I would expect from Bose at this price point. However these features are useless if you can't listen to music.

I see Bose is trying to do some damage control here with their cut and paste responses to bad reviews, but judging from the dozens of one-star reviews it is safe to say Bose has failed on these.",,,,,,,,,,,negative
pablo,The air buds have so much difficulty connecting. Or I can get one ear bud to and the other . Ive literally used it for one day and shows the same issues as the other Bose App based connections. I have an iPhone X. It should not be this bad.,,,,,,,,,,,negative
fizzle,"Left ear bud looses connection from the right ear frequently while listening to music. Left ear suddenly disconnects completely from the right ear while listening to music and once this happens, a struggle getting it to connect back. I updated the firmware hoping it will fix these issues but it did not. I was wishing so hard that the firmware will fix the frequent disconnection of the left ear issue because i really wanted to keep these earbuds. I have had so many Bose products over the years and have been worth the high price tags including the Bose headset that I have had for 4yrs that I got for 350 at the time and they are still very good. The sound of the SoundSport sounds awesome and the base clearly beats the AirPods but no one should have to deal with these kind of technical problems with the high price tag on this product. I have read quite a few discussions where people complained and were told that it could be their phone that wasn't was causing the technical problems that they were experiencing. I use an iphone7 plus with the latest update installed. Therefore I am certain this is not a problem with my phone. As much I love Bose products, unfortunately I will have to return these.

Update on the Bose SoundSort.... I love Bose so much that I decided to give them a second chance by purchasing them directly from Bose physical store 3 days later after I returned the ones I purchased from Amazon. All the technical problems I encountered with the ones I purchased from Amazon do not exist on these new pair directly from the Bose store. They work perfectly. I am convinced that the pair I got from Amazon were either defective or were the one of the ones from the initial release with bugs. My fellow Bose lovers....  give up on these SoundSport just yet. The sound is amazing when you get a pair with no defects.",,,,,,,,,,,negative
thomas,"I was so sorry to return these ear buds. The sound was the best I have ever heard and the convenience of the battery case was terrific. The problem was that the left ear bud kept cutting out entirely. Keep in mind, my iPhone is within a few feet of the earbuds and I'm just laying in a lounge chair beside the pool. I even upgraded the firmware that was supposed to help resolve the issue; however it actually seemed to make it worse. I was listening to a song today and it cut out 4 times within a short period. You have to put the buds back in the case or press the bluetooth button multiple times to reset the left bud. It's obviously a known issue, because Bose addresses it in the issue in the manual. Also, they address it with the firmware upgrade. I'll wait to repurchase the next generation free buds, hopefully they'll use Bluetooth 5.0 to resolve the issue. I feel that they shouldn't even be selling these to unsuspecting customers.",,,,,,,,,,,negative
michael,"These headphones fit great, they sound great, BUT only when they work properly... and they don't work properly very often. There is a major problem with them in that they cut out and skip, sort of like an old school portable CD player. Something with the wireless connection between the two headphones. And it happens every time I use them, progressively more and more each use. If I had known about this issue when I purchased them, I wouldn't have bought them. Similarly, if it had been as bad as it is now during the return window, they would've been returned. I can't get through two songs without them cutting out, skipping, or only one headphone playing music. This is ridiculous considering how much these cost. I would have given 0 stars if it wasn't for the really good sound quality when they do actually work.",,,,,,,,,,,negative
